Z1,Z2,R,R1a,R2a,R1b,R2b,delta,S0,xi0,xi1
6,6,7.4836,0.1759,0.1759,0.0040,0.0040,0.0400,1.3736,3.5499,0.2658
6,8,7.8671,0.1740,0.1280,-0.0045,-0.0310,0.0412,1.5438,5.2576,0.2306
6,10,7.9387,0.1720,0.1206,-0.0171,-0.0035,0.0400,1.9478,3.7661,0.2328
6,12,8.0513,0.1705,0.1014,-0.0210,-0.0186,0.0386,2.4327,4.0059,0.1844
8,8,8.0641,0.1266,0.1266,-0.0377,-0.0377,0.0388,2.1998,6.0147,0.1547
8,10,8.1191,0.1257,0.1183,-0.0461,-0.0068,0.0371,2.9486,3.5127,0.1702
8,12,8.2404,0.1246,0.0994,-0.0500,-0.0216,0.0357,3.7433,2.8303,0.1417
10,10,8.1419,0.1175,0.1175,-0.0107,-0.0107,0.0348,4.2215,0.1225,0.1717
10,12,8.2880,0.1160,0.0987,-0.0157,-0.0273,0.0339,5.2525,0.2141,0.1342
12,12,8.4509,0.0976,0.0976,-0.0288,-0.0288,0.0332,5.9785,0.5263,0.1393
