name,Z,A,m,error
n,0,1,1.00866491593,4.9e-10
H,1,1,1.00782503223,9e-11
H,1,2,2.01410177812,1.2e-10
H,1,3,3.0160492779,2.37e-09
He,2,3,3.01602932007,2.5e-09
He,2,4,4.00260325413,6e-11
He,2,6,6.018886648,4.5e-07
He,2,8,8.033934307,1.9e-07
Li,3,6,6.01512288741,1.55e-09
Li,3,7,7.01600342665,4.54e-09
Li,3,8,8.022486238,5e-08
Li,3,9,9.026790199,9.2e-08
Li,3,11,11.043723754,1.2e-06
Be,4,7,7.016928707,7.6e-08
Be,4,8,8.005305102,3.7e-08
Be,4,9,9.01218305,8.2e-08
Be,4,10,10.013534679,8.6e-08
Be,4,11,11.021661078,2.55e-07
Be,4,12,12.026920848,4.509e-06
Be,4,14,14.04289292,0.00014197
B,5,8,8.024607326,1.073e-06
B,5,9,9.013329633,9.69e-07
B,5,10,10.01293699,4.13e-07
B,5,11,11.009305404,4.48e-07
B,5,12,12.014352104,1.502e-06
B,5,13,13.017780216,1.163e-06
B,5,14,14.025404012,2.2773e-05
B,5,15,15.031094117,2.4005e-05
B,5,17,17.046989906,0.00018344
B,5,19,19.0631,0.00043
C,6,9,9.031035568,2.293e-06
C,6,10,10.01685323,4.32e-07
C,6,11,11.011433611,1.02e-06
C,6,12,12.0,0.0
C,6,13,13.00335483507,2.3e-10
C,6,14,14.00324198842,4.03e-09
C,6,15,15.010599256,8.58e-07
C,6,16,16.014701252,3.84e-06
C,6,17,17.022579037,1.8641e-05
C,6,18,18.026752275,3.2206e-05
C,6,19,19.034797939,0.000105625
C,6,20,20.040319754,0.000256749
C,6,22,22.05597,0.00054
N,7,12,12.018613196,1.073e-06
N,7,13,13.005738609,2.89e-07
N,7,14,14.00307400443,2e-10
N,7,15,15.00010889888,6.4e-10
N,7,16,16.006101659,2.815e-06
N,7,17,17.008448873,1.6103e-05
N,7,18,18.014077565,1.9935e-05
N,7,19,19.017023163,1.761e-05
N,7,20,20.023365807,5.9678e-05
N,7,21,21.02710824,0.000102035
N,7,22,22.034394934,0.000206349
N,7,23,23.04127,0.00032
O,8,13,13.024814683,1.0226e-05
O,8,14,14.008596359,1.17e-07
O,8,15,15.003065618,5.26e-07
O,8,16,15.99491461957,1.7e-10
O,8,17,16.9991317565,6.9e-10
O,8,18,17.99915961286,7.6e-10
