E(MeV),S(MeV-b),sigma(MeV-b),Marker,Reference
2.131679,4.62015404E+17,0,v,Spillane2007
2.1475766,3.38786917E+17,0,v,Spillane2007
2.1117702,1.43347712E+17,0,v,Spillane2007
2.1613016,6.6114145E+16,0,v,Spillane2007
2.1597664,5.2082925E+16,0,o,Fruet2020
2.2371435,3.9495574E+16,0,v,Spillane2007
2.2001092,1.39542135E+16,0,s,Tan2020
2.1853774,1.70326914E+15,0,v,Spillane2007
2.209809,3.55494108E+14,0,v,Spillane2007
2.2765234,1.59074784E+15,0,v,Spillane2007
2.3108258,1.07971376E+16,0,v,Spillane2007
2.3869805,8.6398894E+15,0,v,Spillane2007
2.3367987,3.71350174E+15,0,v,Spillane2007
2.3606393,1.85241174E+15,0,v,Spillane2007
2.399462,7.3201846E+14,0,v,Spillane2007
2.5148067,3.03876157E+15,0,v,Spillane2007
2.4346716,3.2030795E+15,0,v,Spillane2007
2.4881992,3.40652217E+15,0,v,Spillane2007
2.4603732,4.6560269E+15,0,v,Spillane2007
2.5322587,6.4425245E+15,0,o,Fruet2020
2.564389,1.18479454E+16,0,v,Spillane2007
2.5891497,6.5295727E+15,0,v,Spillane2007
2.5356147,4.49201127E+15,0,v,Spillane2007
2.6145291,4.7987305E+15,0,v,Spillane2007
2.6365132,9.6955129E+14,0,x,Becker1981
2.66192,2.26338227E+15,0,x,Becker1981
2.6906722,2.35384179E+15,0,x,Becker1981
2.704764,5.8900854E+15,0,v,Spillane2007
2.7258706,6.4349149E+15,0,v,Spillane2007
2.7512584,6.7296817E+15,0,v,Spillane2007
2.7644165,8.5906062E+15,0,v,Spillane2007
2.750965,1.14558074E+16,0,o,Fruet2020
2.7800071,6.0775677E+15,0,v,Spillane2007
2.8075337,5.7658862E+15,0,v,Spillane2007
2.8170133,5.2954123E+15,0,v,Spillane2007
2.8613577,4.12506295E+15,0,v,Spillane2007
2.8289301,3.2278816E+15,0,v,Spillane2007
2.9145753,3.6755804E+15,0,v,Spillane2007
2.9277241,3.22055787E+15,0,v,Spillane2007
2.9653502,3.90029148E+15,0,v,Spillane2007
2.9947107,3.5460968E+15,0,v,Spillane2007
3.0467098,3.88710807E+15,0,v,Spillane2007
2.9656465,2.64141321E+15,0,v,Spillane2007
2.7444856,1.07594293E+15,0,s,Tan2020
2.8490918,1.10769609E+15,0,s,Tan2020
2.798927,9.804197E+14,0,s,Tan2020
2.7053273,7.7757826E+14,0,s,Tan2020
2.9010742,6.0433968E+14,0,s,Tan2020
2.9450943,2.19330944E+14,0,s,Tan2020
2.9998438,2.176144E+14,0,s,Tan2020
3.0161116,2.38010364E+15,0,v,Spillane2007
3.0589547,6.0430915E+15,0,x,Becker1981
3.084956,6.7667489E+15,0,x,Becker1981
3.1103446,7.3678623E+15,0,v,Spillane2007
3.1366563,9.991566E+15,0,v,Spillane2007
3.1589892,1.22779146E+16,0,x,Becker1981
3.1907902,8.4463458E+15,0,v,Spillane2007
3.2124996,6.355138E+15,0,v,Spillane2007
3.2430859,6.3266704E+15,0,v,Spillane2007
3.2669415,5.8627039E+15,0,v,Spillane2007
3.359612,4.5261713E+15,0,x,Becker1981
3.387752,4.5976557E+15,0,v,Spillane2007
3.411302,4.34724456E+15,0,x,Becker1981
3.3385036,3.85639396E+15,0,x,Becker1981
3.3060803,3.59774405E+15,0,v,Spillane2007
3.3088284,2.9475013E+15,0,x,Becker1981
3.4278133,3.44385188E+15,0,v,Spillane2007
3.4461627,3.12411304E+15,0,v,Spillane2007
3.4739938,2.80562914E+15,0,x,Becker1981
3.4574714,2.20279558E+15,0,x,Becker1981
3.5106854,1.69493704E+15,0,x,Becker1981
3.5421958,2.20767533E+15,0,x,Becker1981
3.517728,2.35321902E+15,0,x,Becker1981
3.493566,2.46381067E+15,0,x,Becker1981
3.5620847,3.0685171E+15,0,v,Spillane2007
3.5954244,3.1485506E+15,0,o,Fruet2020
3.6165266,2.8466458E+15,0,v,Spillane2007
3.6461945,2.71886516E+15,0,v,Spillane2007
3.686269,3.56522041E+15,0,v,Spillane2007
3.7073753,3.83440722E+15,0,v,Spillane2007
3.7394886,3.4512301E+15,0,v,Spillane2007
3.759985,4.02802085E+15,0,v,Spillane2007
3.7960749,3.68691025E+15,0,v,Spillane2007
3.812278,2.67043806E+15,0,v,Spillane2007
3.8422458,1.99580996E+15,0,x,Becker1981
3.9661202,1.9602879E+15,0,x,Becker1981
3.9150426,2.10598541E+15,0,x,Becker1981
3.8633554,2.46904329E+15,0,x,Becker1981
3.8798754,2.84640582E+15,0,x,Becker1981
3.9392138,2.93373486E+15,0,x,Becker1981
3.7667267,6.8108856E+15,0,o,Fruet2020
3.7603104,9.1130477E+15,0,o,Fruet2020
