E(MeV),S(MeV-b),sigma(MeV-b),Marker,Reference
3.8919716,2.2203128E+20,0,o,Torilov21
3.9923968,1.8402836E+20,0,o,Torilov21
4.089503,1.3597754E+20,0,o,Torilov21
4.115781,9.733111E+19,0,o,Torilov21
4.1973357,1.1064171E+20,0,o,Torilov21
4.181648,9.1802E+19,0,o,Torilov21
4.2598763,9.012032E+19,0,o,Torilov21
4.3084836,9.913817E+19,0,o,Torilov21
4.311017,1.31982605E+20,0,o,Torilov21
4.410643,1.2220651E+20,0,o,Torilov21
4.3784857,1.0150221E+20,0,o,Torilov21
4.521841,1.37500025E+20,0,o,Torilov21
4.550576,9.254668E+19,0,o,Torilov21
4.5769567,1.0531292E+20,0,o,Torilov21
4.62891,1.4667269E+20,0,o,Torilov21
4.6337466,9.13183E+19,0,o,Torilov21
4.6914134,1.00868695E+20,0,o,Torilov21
4.735965,1.4666732E+20,0,o,Torilov21
4.8190317,9.056635E+19,0,o,Torilov21
4.82894,1.0211304E+20,0,o,Torilov21
4.8438067,1.2459289E+20,0,o,Torilov21
4.8898687,9.760522E+19,0,o,Torilov21
4.9540935,9.406496E+19,0,o,Torilov21
4.9525094,1.2497221E+20,0,o,Torilov21
5.053808,1.3006796E+20,0,o,Torilov21
5.078452,9.870629E+19,0,o,Torilov21
5.085857,9.571515E+19,0,o,Torilov21
5.099851,9.348321E+19,0,o,Torilov21
5.164962,1.1969435E+20,0,o,Torilov21
5.149254,9.0463296E+19,0,o,Torilov21
5.2077093,8.5412095E+19,0,o,Torilov21
5.2068787,8.25696E+19,0,o,Torilov21
5.2060432,7.828124E+19,0,o,Torilov21
5.273615,9.6003955E+19,0,o,Torilov21
5.381466,8.488305E+19,0,o,Torilov21
5.331991,6.3174706E+19,0,o,Torilov21
5.392942,6.6702515E+19,0,o,Torilov21
5.4077525,6.3043613E+19,0,o,Torilov21
5.420918,6.0138026E+19,0,o,Torilov21
5.4860415,8.171925E+19,0,o,Torilov21
5.4645457,5.5513524E+19,0,o,Torilov21
5.5946565,5.511394E+19,0,o,Torilov21
5.5897946,7.891585E+19,0,o,Torilov21
5.7067075,7.0928646E+19,0,o,Torilov21
5.730522,5.2302704E+19,0,o,Torilov21
5.720623,4.8430395E+19,0,o,Torilov21
5.8038874,7.314258E+19,0,o,Torilov21
5.848277,5.1133685E+19,0,o,Torilov21
5.916703,7.2171024E+19,0,o,Torilov21
5.980869,5.3218096E+19,0,o,Torilov21
6.024595,7.667036E+19,0,o,Torilov21
6.13411,7.32845E+19,0,o,Torilov21
6.233754,7.3583268E+19,0,o,Torilov21
6.2353234,5.176007E+19,0,o,Torilov21
6.3432894,7.705616E+19,0,o,Torilov21
6.3662734,5.5099404E+19,0,o,Torilov21
6.4569273,7.548867E+19,0,o,Torilov21
6.4898505,6.997046E+19,0,o,Torilov21
6.4955626,5.5153504E+19,0,o,Torilov21
6.562323,7.1565475E+19,0,o,Torilov21
6.664391,5.8111916E+19,0,o,Torilov21
6.625647,4.861445E+19,0,o,Torilov21
6.7722287,4.8363356E+19,0,o,Torilov21
6.751575,3.5846988E+19,0,o,Torilov21
6.887461,3.7346496E+19,0,o,Torilov21
6.8849573,3.2086766E+19,0,o,Torilov21
6.982156,3.6065424E+19,0,o,Torilov21
6.986248,3.2184533E+19,0,o,Torilov21
7.0134,2.8957657E+19,0,o,Torilov21
6.9845414,2.4550074E+19,0,o,Torilov21
7.1360884,2.7284126E+19,0,o,Torilov21
7.211043,2.9404622E+19,0,o,Torilov21
7.2702847,2.3440442E+19,0,o,Torilov21
7.416861,2.279908E+19,0,o,Torilov21
7.397891,1.9932796E+19,0,o,Torilov21
7.503281,1.8399614E+19,0,o,Torilov21
7.224062,1.4445336E+19,0,o,Torilov21
7.5353775,1.6794237E+19,0,o,Torilov21
7.636684,1.8080753E+19,0,o,Torilov21
7.656412,1.5375701E+19,0,o,Torilov21
7.7856436,1.1848829E+19,0,o,Torilov21
7.8466063,1.320938E+19,0,o,Torilov21
7.9165373,9.78047E+18,0,o,Torilov21
8.00052,9.1494304E+18,0,o,Torilov21
8.07464,9.406104E+18,0,o,Torilov21
7.9864974,8.266052E+18,0,o,Torilov21
8.041658,7.7805324E+18,0,o,Torilov21
8.1692505,6.2022516E+18,0,o,Torilov21
8.235033,3.9861843E+18,0,o,Torilov21
8.301823,5.8919354E+18,0,o,Torilov21
8.428605,4.9999956E+18,0,o,Torilov21
8.53894,4.7110538E+18,0,o,Torilov21
8.556216,4.35775188E+18,0,o,Torilov21
8.636885,3.72476661E+18,0,o,Torilov21
8.686258,3.1609835E+18,0,o,Torilov21
8.821281,2.75495145E+18,0,o,Torilov21
8.925017,2.46599183E+18,0,o,Torilov21
8.948877,2.23473691E+18,0,o,Torilov21
8.986711,1.80353676E+18,0,o,Torilov21
9.075655,1.85602552E+18,0,o,Torilov21
9.204918,1.64776152E+18,0,o,Torilov21
9.330055,1.41273473E+18,0,o,Torilov21
9.301134,9.0242286E+17,0,o,Torilov21
9.452697,1.07978831E+18,0,o,Torilov21
9.480692,1.05785409E+18,0,o,Torilov21
9.513632,1.05892769E+18,0,o,Torilov21
9.588521,8.4760973E+17,0,o,Torilov21
9.7886095,7.6965374E+17,0,o,Torilov21
9.719406,6.7428678E+17,0,o,Torilov21
9.77285,4.60399775E+17,0,o,Torilov21
9.84699,5.16431541E+17,0,o,Torilov21
9.935052,4.07060439E+17,0,o,Torilov21
9.979533,4.31118441E+17,0,o,Torilov21
9.996806,3.9350511E+17,0,o,Torilov21
