E(MeV),S*(MeV-b),sigma(Me-V),Marker,Reference
2.6399255,3.59116496E+16,1.04358454E+16,o,ND
2.7360075,3.720533E+16,8.733911E+15,o,ND
2.8330224,4.128137E+16,9.353636E+15,o,ND
2.926306,4.6621677E+16,1.0690285E+16,o,ND
3.023321,4.137278E+16,9.411777E+15,o,ND
3.1212687,3.30165732E+16,7.3319558E+15,o,ND
3.215485,4.6313337E+16,9.827585E+15,o,ND
3.3125,4.6621677E+16,1.0018161E+16,o,ND
3.4067163,4.7769936E+16,9.881075E+15,o,ND
3.5027986,4.3628415E+16,9.609959E+15,o,ND
3.601679,4.927235E+16,1.0279592E+16,o,ND
3.6940298,6.0659812E+16,1.341603E+16,o,ND
3.7910447,5.7523631E+16,1.2103643E+16,o,ND
3.8852613,6.2291448E+16,1.2884808E+16,o,ND
3.9841418,6.270617E+16,1.3812186E+16,o,ND
4.0774255,6.0928754E+16,1.2928947E+16,o,ND
4.177239,6.4821562E+16,1.3062851E+16,o,ND
4.2695894,8.992708E+16,1.9404293E+16,o,ND
4.3675375,7.702779E+16,1.7872046E+16,o,ND
4.465485,6.9730018E+16,1.4858899E+16,o,ND
4.5587687,7.1447421E+16,1.5930656E+16,o,ND
4.6520524,6.5687569E+16,1.3821424E+16,o,ND
4.796642,6.270617E+16,1.4492191E+16,o,ND
3.1216419,4.0899642E+16,0,s,Dayras
3.2238805,4.8301181E+16,0,s,Dayras
3.330597,5.6041665E+16,0,s,Dayras
3.4313433,6.0794132E+16,0,s,Dayras
3.5402985,5.7549087E+16,0,s,Dayras
3.5917912,5.467039E+16,0,s,Dayras
3.6402986,5.7447339E+16,0,s,Dayras
3.741791,5.9939584E+16,0,s,Dayras
3.8447762,6.3095732E+16,0,s,Dayras
3.8477612,6.7963644E+16,0,s,Dayras
3.9485075,6.6771593E+16,0,s,Dayras
4.016418,6.7008319E+16,0,s,Dayras
4.06194,7.0039174E+16,0,s,Dayras
4.1119404,7.1542305E+16,0,s,Dayras
4.1567163,7.3466661E+16,0,s,Dayras
4.2179103,7.0039174E+16,0,s,Dayras
4.322388,8.5391002E+16,0,s,Dayras
4.425373,6.9176977E+16,0,s,Dayras
4.516418,7.1415819E+16,0,s,Dayras
4.622388,7.1923101E+16,0,s,Dayras
4.735821,6.7603812E+16,0,s,Dayras
4.847761,6.1770069E+16,0,s,Dayras
4.947761,5.847293E+16,0,s,Dayras
5.036567,5.6639838E+16,0,s,Dayras
5.1574626,5.3238374E+16,0,s,Dayras
5.263433,5.0041184E+16,0,s,Dayras
5.358209,5.0575306E+16,0,s,Dayras
5.466418,4.9864399E+16,0,s,Dayras
5.572388,4.6374841E+16,0,s,Dayras
5.668657,4.3053233E+16,0,s,Dayras
5.733582,4.1117337E+16,0,s,Dayras
5.7738805,3.7635733E+16,0,s,Dayras
5.8358207,3.7436473E+16,0,s,Dayras
5.8820896,3.58798905E+16,0,s,Dayras
5.9880595,3.08694783E+16,0,s,Dayras
6.013433,3.16437664E+16,0,s,Dayras
6.014179,2.82556106E+16,0,s,Dayras
6.0507464,3.04894682E+16,0,s,Dayras
6.147015,3.17559552E+16,0,s,Dayras
6.208209,2.95336425E+16,0,s,Dayras
6.2552238,2.94814286E+16,0,s,Dayras
6.3044777,2.59547644E+16,0,s,Dayras
6.3686566,2.32990981E+16,0,s,Dayras
6.425373,2.15538789E+16,0,s,Dayras
6.470149,2.0915155E+16,0,s,Dayras
