E(MeV),S*(MeV-b),sigma(MeV-b),Marker,Reference
3.262127,5.9727834E+16,1.9197095E+16,v,Trentalange
3.3610075,4.6621677E+16,1.1284932E+16,v,Trentalange
3.4626865,3.7869547E+16,4.2418470E+15,v,Trentalange
3.561567,4.9054862E+16,6.1013740E+15,v,Trentalange
3.665112,5.4188821E+16,0,v,Trentalange
3.7649255,5.0374344E+16,0,v,Trentalange
3.8619404,5.0374344E+16,0,v,Trentalange
3.9197762,4.8838331E+16,0,v,Trentalange
3.9682837,4.6724915E+16,0,v,Trentalange
4.016791,5.0485893E+16,0,v,Trentalange
4.0662313,5.1160375E+16,0,v,Trentalange
4.11847,4.7559079E+16,0,v,Trentalange
4.169776,5.2189032E+16,0,v,Trentalange
4.2182837,5.5278372E+16,0,v,Trentalange
4.2733207,5.777867E+16,0,v,Trentalange
4.317164,5.4791448E+16,0,v,Trentalange
4.3656716,5.6140922E+16,0,v,Trentalange
4.4188433,5.4429073E+16,0,v,Trentalange
4.4645524,5.7523631E+16,0,v,Trentalange
4.516791,5.6514696E+16,0,v,Trentalange
4.568097,5.4791448E+16,0,v,Trentalange
4.61847,5.276942E+16,0,v,Trentalange
4.6660447,5.3830431E+16,0,v,Trentalange
4.716418,5.3356263E+16,0,v,Trentalange
4.767724,5.4069094E+16,0,v,Trentalange
4.8162313,5.3592821E+16,0,v,Trentalange
4.8675375,5.4069094E+16,0,v,Trentalange
4.919776,5.3238374E+16,0,v,Trentalange
4.9692163,5.2189032E+16,0,v,Trentalange
5.016791,5.1729321E+16,0,v,Trentalange
5.0708957,5.2304597E+16,0,v,Trentalange
5.1166043,4.927235E+16,0,v,Trentalange
5.2182837,4.8408134E+16,0,v,Trentalange
5.2686567,4.6007033E+16,0,v,Trentalange
5.3097014,5.2304597E+16,0,v,Trentalange
5.3199625,4.5000576E+16,0,v,Trentalange
5.4179106,4.3148569E+16,0,v,Trentalange
5.466418,4.1008343E+16,0,v,Trentalange
5.516791,4.0467702E+16,0,v,Trentalange
5.5699625,3.9233762E+16,0,v,Trentalange
5.670709,3.6959267E+16,0,v,Trentalange
5.7229476,3.50484321E+16,0,v,Trentalange
5.7714553,3.45863623E+16,0,v,Trentalange
5.81903,3.3606006E+16,0,v,Trentalange
5.869403,3.19391077E+16,0,v,Trentalange
5.920709,3.07604248E+16,0,v,Trentalange
5.965485,2.88492481E+16,0,v,Trentalange
6.0708957,2.52637364E+16,0,v,Trentalange
6.1175375,2.46019893E+16,0,v,Trentalange
6.169776,2.30734426E+16,0,v,Trentalange
6.2714553,2.05665024E+16,0,v,Trentalange
6.36847,1.83319405E+16,0,v,Trentalange
6.471082,1.73074254E+16,0,v,Trentalange
