E(MeV),S(MeV-b),sigma(MeV-b),Marker,Reference
8.27,1.47E+25,3.3E+24,*,Duarte2015
9.27,6.7E+24,5E+23,*,Duarte2015
10.77,8E+23,4E+22,*,Duarte2015
12.27,7.8E+22,5E+21,*,Duarte2015
7.334949,3.4698847E+25,0,o,Spinka1974
7.738873,3.1429729E+25,0,o,Spinka1974
8.247102,2.093888E+25,0,o,Spinka1974
8.713505,1.311993E+25,0,o,Spinka1974
9.284315,7.269369E+24,0,o,Spinka1974
9.729747,3.9794593E+24,0,o,Spinka1974
10.258683,1.9029229E+24,0,o,Spinka1974
10.752815,9.4415826E+23,0,o,Spinka1974
11.267829,4.570733E+23,0,o,Spinka1974
11.671469,2.5023329E+23,0,o,Spinka1974
1.9856638,119331747362506000000000000.000000,0,x,SaoPablo
2.9857168,71570326755987000000000000.000000,0,x,SaoPablo
3.9916108,45857038070763700000000000.000000,0,x,SaoPablo
4.9975133,27052661600575400000000000.00000,0,x,SaoPablo
5.99172,15959232436163600000000000.000000,0,x,SaoPablo
6.9976277,8959772860751470000000000.000000,0,x,SaoPablo
7.991838,5113897275912850000000000.000000,0,x,SaoPablo
8.997747,2823988995321490000000000.000000,0,x,SaoPablo
9.991978,1322004702559940000000000.000000,0,x,SaoPablo
10.986246,430313528546365000000000.000000,0,x,SaoPablo
12.009799,91166020968626400000000.000000,0,x,SaoPablo
13.004115,18686329388749800000000.000000,0,x,SaoPablo
14.010115,4299658864845610000000.000000,0,x,SaoPablo
15.016111,1022565179500770000000.000000,0,x,SaoPablo
16.00455,277542822130513000000.00000,0,x,SaoPablo
17.00467,88860959839425800000.000000,0,x,SaoPablo
18.004784,29406274029930600000.00000,0,x,SaoPablo
19.010736,10569051156853300000.000000,0,x,SaoPablo
