E(MeV),cross-section(b),sigma(b),Marker,Reference
6.7350564,5.2627593E-06,2.9821637E-06,o,O16O16v2
6.983599,1.8876366E-05,4.3957520E-06,o,O16O16v2
7.2329535,4.5658915E-05,8.9847930E-06,o,O16O16v2
7.4759665,1.355112E-04,1.799090E-05,o,O16O16v2
7.7327194,3.4794846E-04,0,o,O16O16v2
7.9791694,7.3932525E-04,0,o,O16O16v2
8.232918,0.0016265254,0,o,O16O16v2
8.480698,0.002653313,0,o,O16O16v2
8.731422,0.004976613,0,o,O16O16v2
8.972561,0.00924316,0,o,O16O16v2
9.218412,0.01691119,0,o,O16O16v2
9.485304,0.027715495,0,o,O16O16v2
9.727992,0.04174817,0,o,O16O16v2
9.972967,0.06133471,0,o,O16O16v2
10.21991,0.08114845,0,o,O16O16v2
10.474211,0.11283805,0,o,O16O16v2
10.732846,0.14058931,0,o,O16O16v2
10.981976,0.1769508,0,o,O16O16v2
11.212253,0.2365289,0,o,O16O16v2
11.453904,0.27490947,0,o,O16O16v2
11.714707,0.32422546,0,o,O16O16v2
11.953673,0.3496932,0,o,O16O16v2
12.207037,0.38466352,0,o,O16O16v2
12.47508,0.46275,0,o,O16O16v2
