E(MeV),cross-section(b),sigma(b),Marker,Reference
6.7856755,1.2630927E-06,6.80467E-07,H,Thomas86
7.0288787,2.4389267E-06,7.221645E-07,H,Thomas86
7.2680087,4.418471E-06,1.2167127E-06,H,Thomas86
7.4920087,8.299521E-06,2.118226E-06,H,Thomas86
7.7272406,1.4739846E-05,3.180819E-06,H,Thomas86
7.991014,2.5545893E-05,0,H,Thomas86
8.277745,4.478916E-05,0,H,Thomas86
8.524081,7.284707E-05,0,H,Thomas86
8.754762,1.0769317E-04,0,H,Thomas86
9.000842,1.6432669E-04,0,H,Thomas86
9.229963,2.6522388E-04,0,H,Thomas86
9.470843,4.6168617E-04,0,H,Thomas86
9.695891,6.9913507E-04,0,H,Thomas86
9.930549,0.0010755553,0,H,Thomas86
10.16761,0.0018723883,0,H,Thomas86
10.402044,0.0027240387,0,H,Thomas86
10.623162,0.004011708,0,H,Thomas86
10.874603,0.0055841804,0,H,Thomas86
11.016457,0.006430678,0,H,Thomas86
11.24626,0.0076339277,0,H,Thomas86
11.519941,0.008983417,0,H,Thomas86
11.751621,0.010579215,0,H,Thomas86
11.992895,0.01260638,0,H,Thomas86
12.216779,0.014267098,0,H,Thomas86
