E(MeV),cross-section(b),sigma(b),Marker,Reference
6.552057,7.192419E-06,3.313988E-06,s,Thomas86
6.788596,1.7716418E-05,4.835234E-06,s,Thomas86
7.0218115,4.93869E-05,1.242977E-05,s,Thomas86
7.2609143,1.4326125E-04,1.951148E-05,s,Thomas86
7.502081,2.679459E-04,0,s,Thomas86
7.7305846,5.9744046E-04,0,s,Thomas86
7.9773993,0.001095235,0,s,Thomas86
8.286184,0.0024977087,0,s,Thomas86
8.5357685,0.005679268,0,s,Thomas86
8.763556,0.010582288,0,s,Thomas86
9.007743,0.016212368,0,s,Thomas86
9.235066,0.026908692,0,s,Thomas86
9.477345,0.041226257,0,s,Thomas86
9.72508,0.059014693,0,s,Thomas86
9.922985,0.080599666,0,s,Thomas86
10.160823,0.10570071,0,s,Thomas86
10.389035,0.13590413,0,s,Thomas86
10.6110735,0.15628678,0,s,Thomas86
10.852618,0.1993016,0,s,Thomas86
11.019115,0.21956497,0,s,Thomas86
11.278986,0.23112623,0,s,Thomas86
11.537363,0.26989424,0,s,Thomas86
11.776329,0.2910943,0,s,Thomas86
12.01781,0.365336,0,s,Thomas86
12.239928,0.42859223,0,s,Thomas86
