E(MeV),S(eV-b),sigma(eV-b),Marker,Reference
0.0025606644,0.1588702,0,^,CA02
0.0025199512,0.23486139,0,^,CA02
0.0031538417,0.23851353,0,^,CA02
0.0032047965,0.26165047,0,^,CA02
0.003782041,0.24347156,0,^,CA02
0.0041416115,0.23607251,0,^,CA02
0.0046086432,0.25632223,0,^,CA02
0.0045112027,0.23245774,0,^,CA02
0.0052111954,0.25369897,0,^,CA02
0.005737209,0.2409798,0,^,CA02
0.0061170626,0.25632223,0,^,CA02
0.006452749,0.2657192,0,^,CA02
0.006770589,0.2657192,0,^,CA02
0.007218861,0.27404743,0,^,CA02
0.0077794925,0.27688113,0,^,CA02
0.0082064085,0.24472709,0,^,CA02
0.00913181,0.27688113,0,^,CA02
0.009841004,0.29299837,0,^,CA02
0.010215997,0.2870318,0,^,CA02
0.01038105,0.30218163,0,^,CA02
0.011187265,0.29299837,0,^,CA02
0.012923165,0.28555924,0,^,CA02
0.014380455,0.33149466,0,^,CA02
0.015663745,0.30063134,0,^,CA02
0.017337207,0.32810205,0,^,CA02
0.0185841,0.33664948,0,^,CA02
0.020242516,0.3181311,0,^,CA02
0.021353366,0.33320412,0,^,CA02
0.02313498,0.33492237,0,^,CA02
0.037020773,0.41355202,0,D,SC96
0.043224588,0.46548712,0,D,SC96
0.049931645,0.4776136,0,D,SC96
0.07454007,0.6776032,0,D,SC96
0.10719201,0.6988408,0,<,MA97
0.13202302,0.9613337,0,<,MA97
0.17806561,1.1568875,0,<,MA97
0.1724483,1.2561226,0,h,GR62
0.38637316,3.0740724,0,h,GR62
0.5438747,4.037437,0,>,WO67
0.496656,4.1639795,0,h,GR62
0.63841695,5.6403112,0,*,WA63
0.6557002,6.2514267,0,h,GR62
0.9946718,8.733262,0,o,FE65
1.1551676,11.951944,0,h,GR62
1.4001408,14.235998,0,>,WO67
1.7061553,16.86955,0,p,GE67
1.6002076,17.668829,0,>,WO67
1.6880224,18.505976,0,p,GE67
1.8191177,18.98808,0,>,WO67
1.9087211,19.184418,0,p,GE67
1.9603941,20.301142,0,>,WO67
1.8783733,20.723146,0,p,GE67
1.8191177,22.270449,0,>,WO67
1.9395591,23.56681,0,p,GE67
2.1931448,23.32562,0,>,WO67
2.240516,24.683405,0,p,GE67
2.2525177,27.640682,0,p,GE67
2.493169,26.663193,0,o,FE65
2.3761294,25.067238,0,>,WO67
2.146775,31.433584,0,>,WO67
2.6020355,33.09268,0,>,WO67
2.9265592,36.490032,0,o,FE65
3.239223,40.23616,0,>,WO67
3.3536832,45.05679,0,>,WO67
3.5900824,45.289135,0,>,WO67
3.4307008,50.131615,0,>,WO67
3.88962,50.97668,0,>,WO67
4.12505,54.712475,0,>,WO67
3.968331,65.000824,0,>,WO67
4.5414295,58.722046,0,>,WO67
4.999838,63.02546,0,>,WO67
5.3768387,68.69613,0,>,WO67
5.585985,67.44572,0,>,WO67
5.834353,69.406456,0,>,WO67
6.1922174,75.41537,0,>,WO67
6.5021853,76.195175,0,>,WO67
6.8433194,79.16285,0,>,WO67
7.2298884,81.10586,0,>,WO67
5.442899,100.22068,0,>,WO67
7.953595,88.25726,0,o,FE65
7.9718266,96.03923,0,>,WO67
8.656753,98.97657,0,o,FE65
8.904691,105.04629,0,>,WO67
9.229905,107.151146,0,o,FE65
9.640291,106.7582,0,o,FE65
7.4483204,119.19787,0,o,FE65
9.258125,148.70381,0,o,FE65
