E(MeV),S(MeV-b),sigma(MeV-b),Marker,Reference
0.1856,19.7,0.7,D,JU10
0.2218,19.5,0.6,D,JU10
0.2568,19.8,0.6,D,JU10
0.2932,20.1,0.6,D,JU10
0.2941,20.7,0.6,D,JU10
0.3278,20.8,0.5,D,JU10
0.3633,20.8,0.5,D,JU10
0.4076,21.1,0.5,D,JU10
0.4608,21.5,0.5,D,JU10
0.4961,22.4,0.5,D,JU10
0.5286,23.2,0.8,D,JU10
0.5588,25.9,0.8,D,JU10
0.6,35.5,1.0,D,JU10
0.5997,45.6,1.4,D,JU10
0.6094,57.9,1.7,D,JU10
0.6196,88.4,2.2,D,JU10
0.6333,105.5,2.2,D,JU10
0.6394,90.9,2.1,D,JU10
0.6492,62.0,1.7,D,JU10
0.6587,48.4,1.3,D,JU10
0.6791,33.8,1.1,D,JU10
0.6994,27.4,0.8,D,JU10
0.7507,26.0,0.9,D,JU10
0.8207,24.3,0.7,D,JU10
0.8763,24.7,0.6,D,JU10
0.8763,24.4,0.7,D,JU10
1.0023,24.6,0.6,D,JU10
1.1028,25.7,0.7,D,JU10
1.2032,25.8,0.8,D,JU10
0.8757,24.5,0.6,D,JU10
1.0016,24.5,0.6,D,JU10
1.4036,27.4,0.7,D,JU10
1.5794,29.3,0.8,D,JU10
1.9,34.8,1.0,D,JU10
2.1947,43.3,1.3,D,JU10
2.4585,40.6,1.2,D,JU10
0.1161,20.2,1.1,D,JU10
0.1401,18.9,0.8,D,JU10
0.1843,19.7,0.7,D,JU10
0.2555,19.4,0.5,D,JU10
0.2778,19.8,0.5,D,JU10
0.3267,19.7,0.4,D,JU10
0.3622,20.7,0.5,D,JU10
0.8727,24.7,0.6,D,JU10
0.1846,19.9,0.5,D,JU10
0.2,19.4,0.5,D,JU10
0.2556,19.6,0.4,D,JU10
0.2777,20.2,0.4,D,JU10
0.3266,20.8,0.4,D,JU10
0.3622,20.3,0.3,D,JU10
0.8715,24.6,0.3,D,JU10
0.9995,24.9,0.4,D,JU10
1.0999,25.9,0.3,D,JU10
1.2001,26.7,0.6,D,JU10
1.7542,31.1,0.8,D,JU10
0.160,17.5,2.1,h,SC06
0.316,19.3,1.2,h,SC06
0.507,20.6,1.3,h,SC06
0.695,22.9,1.7,h,SC06
0.942,23.6,1.6,h,SC06
1.244,25.2,1.9,h,SC06
1.540,25.6,2.2,h,SC06
1.841,27.1,2.5,h,SC06
2.187,27.9,2.8,h,SC06
2.582,29.8,3.4,h,SC06
2.988,56.8,7.1,h,SC06
0.1843,19.8,0.6,^,JU03
0.2198,19.4,0.6,^,JU03
0.2554,19.4,0.5,^,JU03
0.2775,20.1,0.4,^,JU03
0.3264,20.7,0.5,^,JU03
0.3619,20.1,0.4,^,JU03
0.8712,24.3,0.4,^,JU03
0.9995,24.7,0.4,^,JU03
1.0998,25.6,0.4,^,JU03
1.2001,26.4,0.7,^,JU03
1.7541,30.8,1,^,JU03
0.1856,19.4,1,^,JU03
0.2213,19.3,0.8,^,JU03
0.3,19.4,0.9,^,JU03
0.2935,19.7,0.8,^,JU03
0.2944,20.3,0.9,^,JU03
0.3282,20.3,0.7,^,JU03
0.3638,20.4,0.7,^,JU03
0.4081,20.6,0.6,^,JU03
0.4613,21.1,0.7,^,JU03
0.4967,22.0,0.7,^,JU03
0.5286,22.8,1,^,JU03
0.5588,25.5,1.1,^,JU03
0.6,34.9,1.4,^,JU03
0.5997,44.8,1.9,^,JU03
0.6094,56.9,2.4,^,JU03
0.6196,86.8,3.2,^,JU03
0.6333,103.7,3,^,JU03
0.1156,20.7,1.3,^,JU03
0.1398,19.2,1,^,JU03
0.2,18.9,0.8,^,JU03
0.2553,19.6,0.6,^,JU03
0.2775,19.9,0.7,^,JU03
0.3264,19.9,0.5,^,JU03
0.3619,20.9,0.7,^,JU03
0.8714,25.0,0.8,^,JU03
0.8757,24.5,0.7,^,JU03
1.0016,24.5,0.7,^,JU03
1.4036,27.4,1,^,JU03
1.5794,29.3,1.1,^,JU03
1.9,34.8,1.4,^,JU03
2.1947,43.3,1.7,^,JU03
2.4585,40.6,1.6,^,JU03
0.6394,89.3,3.1,^,JU03
0.6492,60.9,2.3,^,JU03
0.6587,47.5,1.8,^,JU03
0.6791,33.2,1.5,^,JU03
0.6994,27.0,1.2,^,JU03
0.7507,25.5,1.2,^,JU03
0.8207,23.9,1,^,JU03
0.8763,24.3,0.7,^,JU03
0.8763,24.0,0.9,^,JU03
1.0023,24.3,0.8,^,JU03
1.1028,25.2,0.9,^,JU03
1.2032,25.4,1,^,JU03
1.078,25.5,0.8,*,BA03
0.856,24.3,0.6,*,BA03
0.853,23.8,0.6,*,BA03
0.849,23.8,0.8,*,BA03
0.844,23.6,0.8,*,BA03
0.415,20.2,1.5,*,BA03
0.356,18.8,1.1,*,BA03
0.302,18.1,1.8,*,BA03
0.850,24.0,0.5,*,BA03
