E(MeV),S(MeV-b)
2.131679,4.62015404E17
2.1475766,3.38786917E17
2.1117702,1.43347712E17
2.1613016,6.6114145E16
2.1597664,5.2082925E16
2.2371435,3.9495574E16
2.2001092,1.39542135E16
2.1853774,1.70326914E15
2.209809,3.55494108E14
2.2765234,1.59074784E15
2.3108258,1.07971376E16
2.3869805,8.6398894E15
2.3367987,3.71350174E15
2.3606393,1.85241174E15
2.399462,7.3201846E14
2.5148067,3.03876157E15
2.4346716,3.2030795E15
2.4881992,3.40652217E15
2.4603732,4.6560269E15
2.5322587,6.4425245E15
2.564389,1.18479454E16
2.5891497,6.5295727E15
2.5356147,4.49201127E15
2.6145291,4.7987305E15
2.6365132,9.6955129E14
2.66192,2.26338227E15
2.6906722,2.35384179E15
2.704764,5.8900854E15
2.7258706,6.4349149E15
2.7512584,6.7296817E15
2.7644165,8.5906062E15
2.750965,1.14558074E16
2.7800071,6.0775677E15
2.8075337,5.7658862E15
2.8170133,5.2954123E15
2.8613577,4.12506295E15
2.8289301,3.2278816E15
2.9145753,3.6755804E15
2.9277241,3.22055787E15
2.9653502,3.90029148E15
2.9947107,3.5460968E15
3.0467098,3.88710807E15
2.9656465,2.64141321E15
2.7444856,1.07594293E15
2.8490918,1.10769609E15
2.798927,9.804197E14
2.7053273,7.7757826E14
2.9010742,6.0433968E14
2.9450943,2.19330944E14
2.9998438,2.176144E14
3.0161116,2.38010364E15
3.0589547,6.0430915E15
3.084956,6.7667489E15
3.1103446,7.3678623E15
3.1366563,9.991566E15
3.1589892,1.22779146E16
3.1907902,8.4463458E15
3.2124996,6.355138E15
3.2430859,6.3266704E15
3.2669415,5.8627039E15
3.359612,4.5261713E15
3.387752,4.5976557E15
3.411302,4.34724456E15
3.3385036,3.85639396E15
3.3060803,3.59774405E15
3.3088284,2.9475013E15
3.4278133,3.44385188E15
3.4461627,3.12411304E15
3.4739938,2.80562914E15
3.4574714,2.20279558E15
3.5106854,1.69493704E15
3.5421958,2.20767533E15
3.517728,2.35321902E15
3.493566,2.46381067E15
3.5620847,3.0685171E15
3.5954244,3.1485506E15
3.6165266,2.8466458E15
3.6461945,2.71886516E15
3.686269,3.56522041E15
3.7073753,3.83440722E15
3.7394886,3.4512301E15
3.759985,4.02802085E15
3.7960749,3.68691025E15
3.812278,2.67043806E15
3.8422458,1.99580996E15
3.9661202,1.9602879E15
3.9150426,2.10598541E15
3.8633554,2.46904329E15
3.8798754,2.84640582E15
3.9392138,2.93373486E15
3.7667267,6.8108856E15
3.7603104,9.1130477E15
