E(keV),S(keV-b)
0.0500,54.235
0.5000,54.381
5.0000,55.801
10.000,57.326
15.000,58.802
20.000,60.248
25.000,61.688
30.000,63.133
35.000,64.593
40.000,66.071
45.000,67.572
50.000,69.093
75.000,76.928
100.00,84.987
125.00,93.079
150.00,101.08
175.00,108.90
200.00,116.52
225.00,123.89
250.00,131.02
275.00,137.90
300.00,144.54
325.00,150.93
350.00,157.09
375.00,163.03
400.00,168.76
425.00,174.29
450.00,179.63
475.00,184.80
500.00,189.80
550.00,199.35
600.00,208.37
650.00,217.93
700.00,227.74
750.00,237.25
800.00,246.49
850.00,255.51
900.00,264.40
950.00,273.06
1000.0,281.35
1050.0,289.28
1100.0,296.87
1150.0,304.19
1200.0,311.30
1250.0,318.26
1300.0,325.08
1350.0,331.71
1400.0,338.16
1450.0,344.42
1500.0,350.49
1600.0,362.22
1700.0,373.58
1800.0,384.56
1900.0,395.18
2000.0,405.43
2250.0,429.89
2500.0,452.61
2750.0,473.80
3000.0,494.16
3250.0,513.81
3500.0,532.41
3750.0,548.39
4000.0,563.51
4250.0,580.00
4500.0,597.81
4750.0,619.20
5000.0,643.53
